points_scored,plus_minus,outcome,seconds_played_per_game,made_field_goals_percent,made_three_point_field_goals_percent,made_free_throws_percent,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,NAME_x,Start_Year_x,Age,Name_Year,File_Name,TEAM,SALARY,POSITION
22.9,0.57,42,2134.01,52.1,27.22,76.96,1.78,6.98,5.42,1.64,1.89,2.92,3.08,20.4,Giannis Antetokounmpo,2016,22,Giannis Antetokounmpo@@@2017,2016-2017_antetgi01_regular_season_box_scores.csv,Milwaukee Bucks,"$24,157,303",PF
9.51,-1.92,20,1302.03,56.82,22.58,72.36,1.89,1.97,1.2,0.15,1.05,1.3,1.68,7.59,Robin Lopez,2018,30,Robin Lopez@@@2019,2018-2019_lopezro01_regular_season_box_scores.csv,Milwaukee Bucks,"$4,767,000",C
10.85,0.05,41,1529.69,51.48,23.08,71.52,2.03,4.19,0.94,0.53,0.83,1.35,2.09,8.38,Taj Gibson,2016,27,Taj Gibson@@@2017,2016-2017_gibsota01_regular_season_box_scores.csv,Minnesota Timberwolves,"$14,000,000",F
10.23,0.86,41,1219.09,38.94,35.65,71.88,0.48,2.43,2.41,0.84,0.26,1.71,1.7,6.15,Tyreke Evans,2018,30,Tyreke Evans@@@2019,2018-2019_evansty01_regular_season_box_scores.csv,Indiana Pacers,"$12,400,000",G
21.12,-2.37,20,1922.73,47.98,29.19,70.47,0.69,3.16,6.82,1.45,0.49,3.1,2.84,15.97,De'Aaron Fox,2019,22,De'Aaron Fox@@@2020,2019-2020_foxde01_regular_season_box_scores.csv,Sacramento Kings,"$8,099,627",PG
20.08,4.58,44,1946.67,44.27,37.33,89.0,0.62,4.77,5.42,1.15,0.27,2.88,2.42,14.95,Khris Middleton,2021,32,Khris Middleton@@@2022,2021-2022_middlkh01_regular_season_box_scores.csv,Milwaukee Bucks,"$37,948,276",SF
12.08,1.31,41,2046.8,44.11,40.76,76.0,0.78,3.24,3.5,1.12,0.23,1.36,2.01,9.74,George Hill,2015,26,George Hill@@@2016,2015-2016_hillge01_regular_season_box_scores.csv,Utah Jazz,"$8,000,000",PG
9.49,5.12,60,1315.7,43.96,41.41,82.5,0.3,1.46,3.5,0.81,0.04,1.26,1.36,7.48,Patty Mills,2016,27,Patty Mills@@@2017,2016-2017_millspa02_regular_season_box_scores.csv,San Antonio Spurs,"$10,714,286",PG
11.72,-0.17,17,1862.17,42.98,32.89,76.87,1.83,5.13,1.89,0.7,0.72,1.0,2.78,9.52,Anthony Tolliver,2009,20,Anthony Tolliver@@@2010,2009-2010_tollian01_regular_season_box_scores.csv,Minnesota Timberwolves,"$2,200,000",PF
8.37,0.11,38,1579.33,60.42,0.0,62.27,3.23,6.22,1.33,0.78,2.3,1.35,2.13,10.72,Rudy Gobert,2014,21,Rudy Gobert@@@2015,2014-2015_goberru01_regular_season_box_scores.csv,Utah Jazz,"$1,175,880",C
12.09,3.73,42,1779.71,43.97,38.46,80.22,0.85,4.76,2.39,1.64,0.58,1.77,2.89,9.6,Paul George,2011,21,Paul George@@@2012,2011-2012_georgpa01_regular_season_box_scores.csv,Indiana Pacers,"$2,574,120",F
6.82,-2.27,14,1478.04,41.39,34.75,68.32,1.01,3.39,1.95,0.78,0.79,1.58,2.25,5.52,Giannis Antetokounmpo,2013,19,Giannis Antetokounmpo@@@2014,2013-2014_antetgi01_regular_season_box_scores.csv,Milwaukee Bucks,"$1,873,200",PF
13.04,1.71,48,1720.35,47.88,0.0,75.09,2.44,4.37,1.11,0.5,1.37,1.83,2.52,9.55,Taj Gibson,2013,24,Taj Gibson@@@2014,2013-2014_gibsota01_regular_season_box_scores.csv,Chicago Bulls,"$8,000,000",F
7.92,2.05,49,1438.52,49.26,37.61,77.27,1.62,3.48,1.09,1.33,0.38,0.69,1.38,7.92,Kawhi Leonard,2011,20,Kawhi Leonard@@@2012,2011-2012_leonaka01_regular_season_box_scores.csv,San Antonio Spurs,"$1,809,840",SF
13.42,-3.09,19,1757.35,47.52,41.2,77.78,0.26,1.72,2.7,0.49,0.32,1.88,1.11,9.15,Eric Gordon,2021,32,Eric Gordon@@@2022,2021-2022_gordoer01_regular_season_box_scores.csv,LA Clippers,"$19,568,360",SG
10.2,4.17,62,1131.43,46.4,42.45,89.02,0.42,1.67,1.84,0.84,0.11,0.78,1.41,7.58,Patty Mills,2013,24,Patty Mills@@@2014,2013-2014_millspa02_regular_season_box_scores.csv,San Antonio Spurs,"$3,842,105",PG
12.73,5.71,51,2024.13,70.28,0.0,42.97,3.47,10.29,1.17,0.66,2.3,1.39,2.69,14.27,DeAndre Jordan,2015,26,DeAndre Jordan@@@2016,2015-2016_jordade01_regular_season_box_scores.csv,LA Clippers,"$21,165,675",C
16.03,5.53,53,1889.13,41.86,35.99,82.17,1.94,7.96,2.42,0.75,0.53,1.84,2.06,12.87,Kevin Love,2015,27,Kevin Love@@@2016,2015-2016_loveke01_regular_season_box_scores.csv,Cleveland Cavaliers,"$21,165,675",PF
18.17,2.52,31,2032.48,44.67,38.89,90.18,0.62,4.54,2.14,0.63,0.24,1.3,1.48,13.93,Danilo Gallinari,2016,29,Danilo Gallinari@@@2017,2016-2017_gallida01_regular_season_box_scores.csv,LA Clippers,"$20,559,599",PF
