,points_scored,plus_minus,outcome,seconds_played_per_game,made_field_goals_percent,made_three_point_field_goals_percent,made_free_throws_percent,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score,NAME,Start_Year,End_Year,Name_Year
0,11.18,1.0,30,1873.87,40.41,34.52,85.93,0.78,3.31,5.11,1.04,0.38,1.87,2.6,9.8,Kyle Lowry,2022,2023,Kyle Lowry@@@2023
0,14.66,4.01,47,1975.03,50.06,38.89,87.6,0.91,4.82,2.51,0.92,0.54,1.2,2.01,12.0,Tobias Harris,2022,2023,Tobias Harris@@@2023
0,25.01,2.27,44,2001.53,51.24,32.43,77.95,0.55,3.64,6.12,1.14,0.32,2.48,2.36,19.15,De'Aaron Fox,2022,2023,De'Aaron Fox@@@2023
0,24.54,0.91,37,2174.27,50.42,32.39,87.19,0.46,4.18,5.09,1.12,0.49,2.07,2.51,18.93,DeMar DeRozan,2022,2023,DeMar DeRozan@@@2023
0,32.17,1.81,27,2179.22,46.26,37.08,91.4,0.76,4.02,7.33,0.86,0.31,3.29,1.88,25.07,Damian Lillard,2022,2023,Damian Lillard@@@2023
0,5.1,-2.85,23,901.31,76.52,100.0,45.83,1.33,3.85,0.87,0.31,0.59,1.23,1.82,5.13,DeAndre Jordan,2022,2023,DeAndre Jordan@@@2023
0,11.35,-3.12,15,1331.94,40.83,30.28,68.14,0.41,2.29,5.24,0.79,0.35,2.35,1.74,8.23,John Wall,2022,2023,John Wall@@@2023
0,33.08,6.42,43,2076.5,54.82,33.0,85.73,1.71,8.44,4.15,1.0,1.7,3.42,3.11,26.89,Joel Embiid,2022,2023,Joel Embiid@@@2023
0,15.88,5.1,57,1825.0,53.06,37.36,78.42,2.01,4.65,1.27,0.47,2.47,1.37,2.6,13.54,Brook Lopez,2022,2023,Brook Lopez@@@2023
0,24.84,0.23,38,2156.84,48.49,37.5,84.81,0.55,3.94,4.25,0.9,0.23,2.52,2.06,17.63,Zach LaVine,2022,2023,Zach LaVine@@@2023
0,3.03,-1.62,25,484.11,64.0,50.0,77.78,0.62,0.76,0.51,0.05,0.22,0.68,1.16,2.17,Robin Lopez,2022,2023,Robin Lopez@@@2023
0,8.21,1.76,35,1199.48,38.92,33.45,87.91,0.95,5.48,1.87,0.26,0.19,1.13,1.56,6.68,Kevin Love,2022,2023,Kevin Love@@@2023
0,26.22,1.37,38,2088.33,42.95,33.48,88.58,0.77,2.21,10.15,1.1,0.12,4.11,1.42,20.57,Trae Young,2022,2023,Trae Young@@@2023
0,28.91,3.84,30,2131.51,49.96,32.1,76.76,1.18,7.13,6.82,0.91,0.58,3.24,1.6,22.45,LeBron James,2022,2023,LeBron James@@@2023
0,5.04,0.89,27,1088.39,46.99,35.79,76.36,0.33,1.52,2.39,0.57,0.13,0.74,1.2,4.88,George Hill,2022,2023,George Hill@@@2023
0,24.01,2.24,40,2098.93,49.12,41.61,82.91,0.59,2.96,6.19,0.9,0.22,2.09,2.24,18.47,Jarrett Allen,2022,2023,Jarrett Allen@@@2023
0,19.97,4.62,43,1969.26,45.44,39.81,83.33,0.74,3.22,6.15,1.02,0.25,2.23,1.58,15.56,Jamal Murray,2022,2023,Jamal Murray@@@2023
